TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202604010000,0.267,,0.400,,0.667,0.400,0.667,0.400,0.667
202604010006,0.267,,,,,,,,
202604010012,0.267,,,,,,,,
202604010018,0.267,,,,,,,,
202604010024,0.267,,,,,,,,
202604010030,0.267,,,,,,,,
202604010036,0.267,,,,,,,,
202604010042,0.267,,,,,,,,
202604010048,0.267,,,,,,,,
202604010054,0.267,1.210,,,,,,,
202604010100,0.267,1.200,0.400,0.533,1.200,0.400,1.200,0.400,1.200
202604010106,0.267,1.190,,,,,,,
202604010112,0.266,1.180,,,,,,,
202604010118,0.266,1.180,,,,,,,
202604010124,0.266,1.161,,,,,,,
202604010130,0.265,1.151,,,,,,,
202604010136,0.265,1.138,,,,,,,
202604010142,0.264,1.151,,,,,,,
202604010148,0.263,1.170,,,,,,,
202604010154,0.263,1.170,,,,,,,
202604010200,0.262,1.138,0.400,0.476,1.138,0.400,1.138,0.400,1.138
202604010206,0.261,1.138,,,,,,,
202604010212,0.260,1.180,,,,,,,
202604010218,0.259,1.200,,,,,,,
202604010224,0.258,1.170,,,,,,,
202604010230,0.257,1.151,,,,,,,
202604010236,0.256,1.161,,,,,,,
202604010242,0.254,1.170,,,,,,,
202604010248,0.253,1.138,,,,,,,
202604010254,0.252,1.118,,,,,,,
202604010300,0.250,1.108,0.400,0.458,1.108,0.400,1.108,0.400,1.108
202604010306,0.249,1.098,,,,,,,
202604010312,0.247,1.088,,,,,,,
202604010318,0.245,1.088,,,,,,,
202604010324,0.244,1.108,,,,,,,
202604010330,0.242,1.128,,,,,,,
202604010336,0.240,1.151,,,,,,,
202604010342,0.238,1.138,,,,,,,
202604010348,0.236,1.108,,,,,,,
202604010354,0.235,1.088,,,,,,,
202604010400,0.233,1.079,0.400,0.446,1.079,0.400,1.079,0.400,1.079
202604010406,0.231,1.088,,,,,,,
202604010412,0.229,1.088,,,,,,,
202604010418,0.227,1.108,,,,,,,
202604010424,0.225,1.128,,,,,,,
202604010430,0.223,1.118,,,,,,,
202604010436,0.221,1.088,,,,,,,
202604010442,0.219,1.088,,,,,,,
202604010448,0.217,1.108,,,,,,,
202604010454,0.216,1.098,,,,,,,
202604010500,0.214,1.079,0.400,0.465,1.079,0.400,1.079,0.400,1.079
202604010506,0.212,1.079,,,,,,,
202604010512,0.211,1.098,,,,,,,
202604010518,0.209,1.088,,,,,,,
202604010524,0.208,1.069,,,,,,,
202604010530,0.206,1.059,,,,,,,
202604010536,0.205,1.049,,,,,,,
202604010542,0.204,1.039,,,,,,,
202604010548,0.203,1.029,,,,,,,
202604010554,0.202,1.029,,,,,,,
202604010600,0.201,1.029,0.400,0.428,1.029,0.400,1.029,0.400,1.029
202604010606,0.200,1.029,,,,,,,
202604010612,0.199,1.029,,,,,,,
202604010618,0.199,1.039,,,,,,,
202604010624,0.198,1.010,,,,,,,
202604010630,0.198,0.980,,,,,,,
202604010636,0.198,0.990,,,,,,,
202604010642,0.198,1.029,,,,,,,
202604010648,0.198,1.039,,,,,,,
202604010654,0.198,1.020,,,,,,,
202604010700,0.198,1.020,0.400,0.422,1.020,0.400,1.020,0.400,1.020
202604010706,0.198,1.039,,,,,,,
202604010712,0.199,1.049,,,,,,,
202604010718,0.199,1.039,,,,,,,
202604010724,0.200,1.020,,,,,,,
202604010730,0.201,1.020,,,,,,,
