TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202604260000,0.299,1.239,0.700,0.240,1.239,0.700,1.239,0.800,1.339
202604260006,0.302,,,,,,,,
202604260012,0.304,1.220,,,,,,,
202604260018,0.306,,,,,,,,
202604260024,0.309,1.138,,,,,,,
202604260030,0.311,,,,,,,,
202604260036,0.313,1.138,,,,,,,
202604260042,0.316,,,,,,,,
202604260048,0.318,1.180,,,,,,,
202604260054,0.321,,,,,,,,
202604260100,0.323,,0.700,,1.023,0.700,1.023,0.800,1.123
202604260106,0.326,,,,,,,,
202604260112,0.328,1.289,,,,,,,
202604260118,0.331,1.308,,,,,,,
202604260124,0.333,1.308,,,,,,,
202604260130,0.336,1.289,,,,,,,
202604260136,0.338,1.289,,,,,,,
202604260142,0.341,1.289,,,,,,,
202604260148,0.344,1.289,,,,,,,
202604260154,0.346,1.289,,,,,,,
202604260200,0.349,1.318,0.700,0.269,1.318,0.700,1.318,0.800,1.418
202604260206,0.352,1.318,,,,,,,
202604260212,0.354,1.298,,,,,,,
202604260218,0.357,1.279,,,,,,,
202604260224,0.360,1.289,,,,,,,
202604260230,0.363,1.289,,,,,,,
202604260236,0.365,1.279,,,,,,,
202604260242,0.368,1.259,,,,,,,
202604260248,0.371,1.269,,,,,,,
202604260254,0.374,1.279,,,,,,,
202604260300,0.376,1.259,0.700,0.183,1.259,0.700,1.259,0.800,1.359
202604260306,0.379,1.259,,,,,,,
202604260312,0.382,1.279,,,,,,,
202604260318,0.385,1.308,,,,,,,
202604260324,0.387,1.318,,,,,,,
202604260330,0.390,1.328,,,,,,,
202604260336,0.393,1.361,,,,,,,
202604260342,0.396,1.371,,,,,,,
202604260348,0.398,1.348,,,,,,,
202604260354,0.401,1.348,,,,,,,
202604260400,0.404,1.348,0.700,0.244,1.348,0.700,1.348,0.800,1.448
202604260406,0.406,1.338,,,,,,,
202604260412,0.409,1.318,,,,,,,
202604260418,0.412,1.318,,,,,,,
202604260424,0.414,1.338,,,,,,,
202604260430,0.417,1.361,,,,,,,
202604260436,0.420,1.348,,,,,,,
202604260442,0.422,1.348,,,,,,,
202604260448,0.425,1.371,,,,,,,
202604260454,0.427,1.371,,,,,,,
202604260500,0.430,1.348,0.800,0.118,1.348,0.700,1.248,0.800,1.348
202604260506,0.433,1.348,,,,,,,
202604260512,0.435,1.361,,,,,,,
202604260518,0.438,1.371,,,,,,,
202604260524,0.441,1.348,,,,,,,
202604260530,0.443,1.348,,,,,,,
202604260536,0.446,1.348,,,,,,,
202604260542,0.448,1.348,,,,,,,
202604260548,0.451,1.318,,,,,,,
202604260554,0.454,1.308,,,,,,,
202604260600,0.456,1.328,0.700,0.172,1.328,0.700,1.328,0.700,1.328
202604260606,0.459,1.328,,,,,,,
202604260612,0.461,1.318,,,,,,,
202604260618,0.464,1.308,,,,,,,
202604260624,0.466,1.318,,,,,,,
202604260630,0.469,1.338,,,,,,,
202604260636,0.471,1.338,,,,,,,
202604260642,0.474,1.318,,,,,,,
202604260648,0.476,1.308,,,,,,,
202604260654,0.479,1.308,,,,,,,
202604260700,0.481,1.308,0.700,0.127,1.308,0.700,1.308,0.700,1.308
202604260706,0.483,1.289,,,,,,,
202604260712,0.485,1.279,,,,,,,
202604260718,0.488,1.279,,,,,,,
202604260724,0.490,1.289,,,,,,,
202604260730,0.492,1.279,,,,,,,
202604260736,0.494,1.279,,,,,,,
202604260742,0.496,1.259,,,,,,,
202604260748,0.497,1.259,,,,,,,
202604260754,0.499,1.259,,,,,,,
202604260800,0.501,1.259,0.700,0.058,1.259,0.700,1.259,0.700,1.259
202604260806,0.502,1.259,,,,,,,
202604260812,0.504,1.249,,,,,,,
202604260818,0.505,1.229,,,,,,,
202604260824,0.506,1.200,,,,,,,
202604260830,0.507,1.190,,,,,,,
202604260836,0.508,1.200,,,,,,,
202604260842,0.509,1.190,,,,,,,
202604260848,0.509,1.180,,,,,,,
202604260854,0.510,1.190,,,,,,,
202604260900,0.510,1.220,0.700,0.010,1.220,0.700,1.220,0.700,1.220
202604260906,0.510,1.220,,,,,,,
202604260912,0.510,1.210,,,,,,,
202604260918,0.510,1.190,,,,,,,
202604260924,0.510,1.190,,,,,,,
202604260930,0.510,1.190,,,,,,,
202604260936,0.509,1.190,,,,,,,
202604260942,0.508,1.180,,,,,,,
202604260948,0.507,1.180,,,,,,,
202604260954,0.506,1.180,,,,,,,
202604261000,0.505,1.170,0.700,-0.035,1.170,0.700,1.170,0.700,1.170
202604261006,0.504,1.170,,,,,,,
202604261012,0.503,1.170,,,,,,,
202604261018,0.501,1.180,,,,,,,
202604261024,0.499,1.170,,,,,,,
202604261030,0.498,1.151,,,,,,,
202604261036,0.496,1.151,,,,,,,
202604261042,0.494,1.151,,,,,,,
202604261048,0.492,1.151,,,,,,,
202604261054,0.489,1.151,,,,,,,
202604261100,0.487,1.151,0.700,-0.036,1.151,0.700,1.151,0.700,1.151
202604261106,0.484,1.151,,,,,,,
202604261112,0.482,1.128,,,,,,,
202604261118,0.479,1.118,,,,,,,
202604261124,0.476,1.118,,,,,,,
202604261130,0.474,1.128,,,,,,,
202604261136,0.471,1.118,,,,,,,
202604261142,0.468,1.118,,,,,,,
202604261148,0.465,1.128,,,,,,,
202604261154,0.462,1.128,,,,,,,
202604261200,0.459,1.098,0.600,0.039,1.098,0.600,1.098,0.600,1.098
202604261206,0.455,1.069,,,,,,,
202604261212,0.452,1.069,,,,,,,
202604261218,0.449,1.069,,,,,,,
202604261224,0.446,1.059,,,,,,,
202604261230,0.442,1.049,,,,,,,
202604261236,0.439,1.069,,,,,,,
202604261242,0.436,1.079,,,,,,,
202604261248,0.432,1.069,,,,,,,
202604261254,0.429,1.059,,,,,,,
202604261300,0.425,1.069,0.600,0.044,1.069,0.600,1.069,0.600,1.069
202604261306,0.422,1.069,,,,,,,
202604261312,0.419,1.059,,,,,,,
202604261318,0.415,1.059,,,,,,,
202604261324,0.412,1.059,,,,,,,
202604261330,0.408,1.039,,,,,,,
202604261336,0.405,1.020,,,,,,,
202604261342,0.401,0.990,,,,,,,
202604261348,0.397,0.970,,,,,,,
202604261354,0.394,0.951,,,,,,,
202604261400,0.390,0.961,0.600,-0.029,0.961,0.600,0.961,0.600,0.961
202604261406,0.387,0.961,,,,,,,
202604261412,0.383,0.941,,,,,,,
202604261418,0.380,0.941,,,,,,,
202604261424,0.376,0.970,,,,,,,
202604261430,0.372,1.010,,,,,,,
202604261436,0.369,1.000,,,,,,,
