        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202609011800,   0.756,9999.000,   0.600,9999.000,   1.356,   0.600,   1.356,   0.600,   1.356
202609011806,   0.753,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011812,   0.750,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011818,   0.748,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011824,   0.745,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011830,   0.742,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011836,   0.739,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011842,   0.736,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011848,   0.732,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011854,   0.729,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011900,   0.726,   1.479,   0.600,   0.153,   1.479,   0.600,   1.479,   0.600,   1.479
202609011906,   0.723,   1.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011912,   0.719,   1.479,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011918,   0.716,   1.479,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011924,   0.712,   1.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011930,   0.708,   1.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011936,   0.705,   1.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011942,   0.701,   1.390,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011948,   0.697,   1.338,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609011954,   0.694,   1.279,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609012000,   0.690,   1.229,   0.600,  -0.061,   1.229,   0.600,   1.229,   0.600,   1.229
202609012006,   0.686,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202609012012,   0.682,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
